,date,location,news title,news source(url),content summary,keywords,class_name
11,05/2017,"But the couple missed the Beetle so much that they started looking for another soon after, with the hope of passing it to their daughter one day.

""The year was 2008 and we felt we were ready for a second car,"" Madam Lim says. ""It was also only natural that we wanted another Beetle. This time around, we desired a 1950s model or one that looked similar.""

Madam Lim also had a few other criteria. ""Firstly, the car must be of the right look for its age. In other words, it cannot be from the 1950s and have a modern steering wheel, lights and seats,"" she says.

""It must also have the correct registration number. Classic cars cannot have modern numbers.

""Lastly, the overall condition must be good. While I understand that old cars will have some rust, dents and scratches, I don't want to spend a fortune to repair it.""

The couple found a listing on online car portal sgCarMart that matched what they wanted.

""When I saw the advertisement, it stated that the black Beetle was registered in 1971. However, the accompanying photos showed a car which looked like it was from the 1950s,"" Madam Lim says.

""When I called the owner, who is a violinist, I found out that the car had been converted to look like the 1950s model. I made an appointment to take a closer look with my husband and when we saw it, we were pleased with its condition.""

They paid ""a higher price"" than what comparable Beetles commanded then. The car had only one year left on its certificate of entitlement (COE), but ""thankfully, the price to renew the COE was very low then"", Madam Lim says.

Since purchasing the car, the couple have spent about $23,000 on refurbishments such as bodywork, upholstery and having it repainted beige.

The Beetle is driven by Mr Ong daily while Madam Lim ferries Yan Qi and her brother in a Toyota Wish MPV, which they bought new in 2012.

So what does Yan Qi think of the ride that she will inherit one day?

""I like sitting in it because it doesn't have any seat belts, but I wish daddy would turn on the aircon more often as it can get quite hot inside,"" she says.

""Also, I like it when my brother accompanies me because he can enjoy the ride too.""

• The writer contributes to Torque, a motoring monthly published by SPH Magazines",Vintage Volkswagen Beetle for daughter,https://www.straitstimes.com/lifestyle/motoring/present-for-the-future,"But the couple missed the Beetle so much that they started looking for another soon after, with the hope of passing it to their daughter one day.
""The year was 2008 and we felt we were ready for a second car,"" Madam Lim says.
Madam Lim also had a few other criteria.
However, the accompanying photos showed a car which looked like it was from the 1950s,"" Madam Lim says.
The Beetle is driven by Mr Ong daily while Madam Lim ferries Yan Qi and her brother in a Toyota Wish MPV, which they bought new in 2012.","volkswagen, car, daughter, look, yan, couple, saw, beetle, wish, lim, madam, 1950s, vintage",Pest and disease outbreaks
12,08/2018,"Bees and butterflies are praised for their pollination prowess. But millions of years before they ever flirted with a flower, beetles were one of the world's pre","Trapped in 99-million-year-old amber, a beetle with pilfered pollen",https://www.straitstimes.com/world/trapped-in-99-million-year-old-amber-a-beetle-with-pilfered-pollen,"Bees and butterflies are praised for their pollination prowess.
But millions of years before they ever flirted with a flower, beetles were one of the world's pre-eminent pollinators.
Among the plethora of prehistoric plants they helped fertilise were cycads, which look like a mix between palms and ferns, though they are more closely related to pines.
They have thick trunks and pineapple-shaped cones, and they are crowned with feather-like leaves.","amber, pollination, trunks, trapped, prowess, praised, pilfered, pollen, beetle, prehistoric, thick, related, 99millionyearold, pollinatorsamong, worlds, preeminent",Pest and disease outbreaks
13,11/2016,"This is because the females retain their larval form throughout life, explaining their shell",Video footage of rare trilobite beetle in Singapore by local ecologist fascinates the Web,https://www.straitstimes.com/singapore/environment/video-footage-of-rare-trilobite-beetle-in-singapore-by-local-ecologist,"This is because the females retain their larval form throughout life, explaining their shell-like appearance as seen by Mr Wong.
Trilobite beetles, which date from around 47 million years ago, are named after trilobites - armoured sea creatures commonly seen in fossils.
Mr Wong, 26, who has a National Geographic Young Explorer grant, grew up wanting to be like ""entomologist and bug-catching extraordinaire"" Georges Brossard.
He received an undergraduate overseas scholarship from the National Parks Board Singapore in 2011 and graduated from The Australian National University in 2014.
He is currently working as a manager at the National Parks Board, according to his Linkedin profile.","females, singapore, local, rare, trilobite, seen, web, parks, beetles, mr, trilobites, beetle, wong, ecologist, fascinates, national, species, video, footage",Pest and disease outbreaks
14,07/2016,BEIJING (AFP) ,"Beetle named Xi is a pest, say China censors",https://www.straitstimes.com/asia/east-asia/beetle-named-xi-is-a-pest-say-china-censors,"BEIJING (AFP) - Chinese censors have stepped in to crush underfoot talk of a newfound beetle species named after President Xi Jinping, reports said on Tuesday - to the dismay of its loyal discoverer.
""Daddy Xi"", or ""Xi Dada"", is an avuncular nickname for the President that was once pushed in official propaganda but has since been downplayed.
The ""xii"" beetle is not the first new species to be named after a head of state.
Beloved President Xi!
This is a rare beetle!","pest, president, xi, wang, censors, jinping, china, say, beetle, species, rare, named, chinese",Pest and disease outbreaks
15,07/2017,"Spike, a pet beetle about the size of a thumb, has set the Internet abuzz with his natural talent ","Spike, the stag beetle, melting hearts with his drawings",https://www.straitstimes.com/asia/east-asia/spike-the-stag-beetle-melting-hearts-with-his-drawings,"Spike, a pet beetle about the size of a thumb, has set the Internet abuzz with his natural talent - drawing.
Holding a felt-tip marker each time between his strong jaws, the slow-moving stag beetle would create abstract art on his mini canvas with colourful crisp lines.
His owner, a 27-year-old teacher named Mandy Bryant who lives in Japan's Nagano prefecture, described to the BBC that Spike is ""sweet and curious"".
""I hope that people can start to see insects as any other part of the natural world: beautiful and fascinating.
They really aren't as scary as you think,"" Ms Bryant told the BBC.","drawings, world, hearts, stag, spike, beetle, species, bryant, bbc, artwork, natural, canvas, melting",Pest and disease outbreaks
16,09/2016,"Fastest Volkswagen Beetle

A specially tuned Volkswagen Beetle has set a new speed record at the World of Speed in Lake Bonneville in Utah, United States. The Beetle LSR (Land Speed Record) with a turbocharged 2",Fast lane: Fastest Volkswagen Beetle,https://www.straitstimes.com/lifestyle/motoring/fast-lane-fastest-volkswagen-beetle,"Fastest Volkswagen BeetleA specially tuned Volkswagen Beetle has set a new speed record at the World of Speed in Lake Bonneville in Utah, United States.
The Beetle LSR (Land Speed Record) with a turbocharged 2-litre direct- injection engine drove the fastest speed ever documented for a Beetle, reaching 328.195kmh over 1.6km.
It is also the world's fastest diesel SUV, with a century sprint timing of 4.8 seconds and a top speed of 270kmh.
Volkswagen Caddy, Caddy Maxi and Tiguan 2.0 TDI recalledVolkswagen Singapore has started recalling the first registered cars affected by its global diesel scandal.
These are the Caddy, Caddy Maxi and Tiguan 2.0 TDI.","volkswagen, caddy, fast, software, lane, singapore, diesel, fastest, speed, beetle, engine, vehicles, cars",Pest and disease outbreaks
17,07/2016,NEW YORK• Josh Wakely has quickly become one of the busiest young writers and producers in television ,Beetles do Beatles on Netflix,https://www.straitstimes.com/lifestyle/entertainment/beetles-do-beatles-on-netflix,"NEW YORK• Josh Wakely has quickly become one of the busiest young writers and producers in television - with a little help from The Beatles, Bob Dylan and Motown.
Each of his three new shows uses classic pop songs as inspiration, raw material and organising theme.
Beat Bugs, an animated children's series on Netflix based on Beatles songs, begins its first season on Wednesday.
The show features performances of songs such as Lucy In The Sky With Diamonds and Help!
""I realised that these extraordinary melodies would make sense for children, but also the full level of imagination and visual imagery that The Beatles had in their songs,"" he said.","beatles, songs, shows, netflix, beetles, created, dylan, television, way, help, wakely",Pest and disease outbreaks
18,02/2022,"Singapore has at least 25 native dung beetle species, of which at least 23 are tunnellers that belong to this Onthophagus genus.

According to Assistant Professor Nalini Puniamoorthy from the department of biological sciences at NUS, male dung beetles hang out at the entrances of these underground tunnels which are usually dug by females.

Larger males would fight one another for a chance to mate with the female, often using their large horns as a weapon to defend their territory.

The winner gets to mate with the female which lays her eggs in brood balls, which are developmental chambers that she builds out of dung. The male victor continues to defend the female and her brood balls by fighting off other males at the tunnel entrance.

""This is driven by an evolutionary mechanism called sexual selection, where certain traits that increase an individual's reproductive fitness are selected. In this case, horn length and body size are important traits that increase mating success,"" said Prof Nalini.

That being said, many dung beetle species exhibit an interesting alternative mating strategy: the sneaky male tactic.

Small males (with no horns or small horns) can mimic females and sneak past the large guarding males to mate with the female beetles in the tunnel. These male species usually ""compensate"" by having large testes, or more sperm, which in this case, would be a key reproductive trait that influences fertilisation success.

""Different species of dung beetles display vastly different mating behaviours. In some rare instances, the tunnelling can be done by the male beetle, as a nuptial gift almost to say, 'I built a house for you, now you can come and have your offspring',"" she added",Strange love: 4 creatures found in Singapore with unusual mating rituals,https://www.straitstimes.com/singapore/strange-love-4-creatures-found-in-singapore-with-unusual-mating-rituals,"Singapore has at least 25 native dung beetle species, of which at least 23 are tunnellers that belong to this Onthophagus genus.
According to Assistant Professor Nalini Puniamoorthy from the department of biological sciences at NUS, male dung beetles hang out at the entrances of these underground tunnels which are usually dug by females.
That being said, many dung beetle species exhibit an interesting alternative mating strategy: the sneaky male tactic.
These male species usually ""compensate"" by having large testes, or more sperm, which in this case, would be a key reproductive trait that influences fertilisation success.
""Different species of dung beetles display vastly different mating behaviours.","mating, singapore, rituals, female, mate, creatures, males, horns, beetles, male, species, large, love, dung, unusual, strange",Pest and disease outbreaks
19,10/2019,SINGAPORE ,Bukit Batok black insect swarms: Residents adjust lives around bugs whose return could be weather-linked,https://www.straitstimes.com/singapore/bukit-batok-black-insect-swarms-residents-adjust-lives-around-bugs-whose-return-could-be,"SINGAPORE - Have dinner before the sun sets, keep the children indoors, and shut the windows - that is how some Housing Board residents at three Bukit Batok blocks are dealing with the swarms of black insects that have made a return after four years.
But even as residents are adjusting their daily routines, many are appealing to the relevant authorities to find a solution so the bugs do not return to haunt them again.
He has told them not to play at the void decks of the affected blocks - Blocks 170, 171 and 172 in Bukit Batok Avenue 8 - for the next few days.
This is the second time the black insects have plagued the three Bukit Batok blocks, although residents said it was a lot worse the first time, in 2015, as there were many more bugs affecting their lives for about three weeks.
Their numbers have since fallen significantly, but many residents are bracing for the bugs to be around for a few more days.","lives, residents, void, weatherlinked, black, solution, return, swarms, blocks, bugs, insects, told, insect, worse, bukit, batok",Pest and disease outbreaks
20,10/2019,"Have dinner before the sun sets, keep the children indoors, and shut the windows ",Black insects bug Bukit Batok residents,https://www.straitstimes.com/singapore/black-insects-bug-bukit-batok-residents,"Have dinner before the sun sets, keep the children indoors, and shut the windows - that is how some Housing Board residents at three Bukit Batok blocks are dealing with swarms of black insects that have made a return after four years.
But insect experts said a longer-term solution may lie in understanding the cause of the insects' resurgence, which could be linked to the weather.
Residents such as Mr Bala Suppiah, a 48-year-old civil servant, are taking no chances with the bugs when it comes to their children.
He has told them not to play at the void decks of the affected blocks - Blocks 170, 171 and 172 in Bukit Batok West Avenue 8 - for the next few days.
This is the second time the black insects have plagued the three Bukit Batok blocks, although residents said it was a lot worse the first time, in 2015, as there were many more bugs affecting their lives for about three weeks.","residents, black, solution, return, bug, blocks, bugs, insects, told, worse, bukit, batok",Pest and disease outbreaks
21,03/2018,"TOKYO • Across Japan's capital, delicate pink and white cherry blossoms are emerging, but the famed blooms are facing a potentially mortal enemy, experts say: an invasive foreign beetle.

The alien invader is aromia bungii, otherwise known as the red",Japan's famed blooms under threat,https://www.straitstimes.com/asia/japans-famed-blooms-under-threat,"TOKYO • Across Japan's capital, delicate pink and white cherry blossoms are emerging, but the famed blooms are facing a potentially mortal enemy, experts say: an invasive foreign beetle.
In January, the Environment Ministry designated the beetle an invasive alien species, meaning its import and transfer are banned.
He said beetle larva should be killed with pesticide, and trees with serious infestations should be cut down to save others.
The centre has issued a guidebook with details on how to identify and kill the beetle, which grows up to 3cm to 4cm.
Tokyo's cherry blossom season officially started last week as forecasters watching trees at Yasukuni Shrine announced that the city's first blossoms had appeared.","threat, serious, kill, cherry, spread, invasive, say, beetle, famed, blooms, trees, japans, ministry, tokyo",Pest and disease outbreaks
22,05/2020,"Back in the 1970s, the Singapore Police Force (SPF) used Volkswagen Beetle patrol cars. On Thursday, the SPF posted this photo of a row of the cars lined up outside the Police Radio Division at Pearl's Hill Lower Barracks, as part of a series commemorating 200 years of policing in Singapore.

The top floor of the Lower Barracks was used to house the Operations Room, where radio links with police vehicles, launches and divisional headquarters were maintained. For years, it was from Pearl's Hill that police response to public calls and emergencies was coordinated.

In the early 1970s, the Police Radio Division used Volkswagen Beetles to patrol neighbourhoods and commercial districts.

The patrol cars were also dispatched to respond to incidents or crime scenes. Being accessible only from the front, the Beetle's design made it difficult for suspects who were seated at the back to escape from the vehicle.

Although the Volkswagen Beetles were decommissioned in 1982 and never seen on the streets again, they remain a cherished part of the SPF's history",A trip down memory lane,https://www.straitstimes.com/multimedia/photos/a-trip-down-memory-lane,"Back in the 1970s, the Singapore Police Force (SPF) used Volkswagen Beetle patrol cars.
For years, it was from Pearl's Hill that police response to public calls and emergencies was coordinated.
In the early 1970s, the Police Radio Division used Volkswagen Beetles to patrol neighbourhoods and commercial districts.
The patrol cars were also dispatched to respond to incidents or crime scenes.
Although the Volkswagen Beetles were decommissioned in 1982 and never seen on the streets again, they remain a cherished part of the SPF's history.","patrol, trip, volkswagen, pearls, lane, hill, beetles, memory, used, radio, lower, cars, spf",Pest and disease outbreaks
23,12/2020,"WILD CAPE GOOSEBERRY OCCURS AS A WEED, PRODUCES EDIBLE FRUIT

What is the name of this plant? Can the fruit be eaten?

Ang Gerk Kuan

The plant commonly occurs as a weed. Its common name is Wild Cape Gooseberry and its botanical name is Physalis minima.

Its fruit are edible when fully ripe ",Root Awakening,https://www.straitstimes.com/life/home-design/root-awakening-17,"PLANT IS LIKELY THE CHILLI; CURRY LEAF PLANT INFESTED WITH TORTOISE BEETLEThis plant (Photo 1) beside my mandarin orange plant grows very fast and is the same height as my other plant.
I had previously put some chilli seeds in the pot, but the plant did not flower and kept growing leaves.
Lim Wei ShyongThe plant (Photo 1) morphologically looks like the chilli plant, but a confirmation can be done only with the production of flowers and fruit.
Based on the second and third pictures, it appears that your curry leaves are infested with tortoise beetles.
Pesticides with pyrethrins, which are derived from the insecticidal chrysanthemum flowers, may provide rapid knockdown and leave little residue - these may be suitable as you are growing an edible plant.","white, wild, infested, growing, curry, edible, straits, chilli, leaves, seeds, plant, times",Pest and disease outbreaks
24,03/2017,Beyond its uncanny ability to take old,Blast from the past,https://www.straitstimes.com/lifestyle/motoring/blast-from-the-past,"Beyond its uncanny ability to take old-timers back in time, this Beetle offers everything people today love about a Volkswagen.
But that is exactly what the Fender system offers.
The car is not just for old-timers reminiscing about the past, of course.
Now, you may think that it is unnecessary for a 1.2-litre car with just over 100 horses to its name.
So, if you have always wondered what it is like to be with a topless model with a past, you have got to check this baby out, man.","feel, fender, car, past, wind, offers, oldtimers, blast, roof, system, cars",Pest and disease outbreaks
25,05/2020,"The authorities should work on the basis of a negative rather than a positive list of what constitutes illegal pets (Pet industry stands to benefit from a negative list of animals, by Mr Ong Junkai, May 13).

This would allow for greater diversification and growth in the pet industry and has other benefits.

When I was growing up, my parents exposed my brother and I to all kinds of animals both in captivity as well as in their natural habitats. This inculcated in us a love and respect for animals and nature as a whole.

We kept dogs, fish and birds in our home. When I became interested in more ""exotic"" animals, I learnt that it was illegal in Singapore to keep all but a small range of domestic pets such as dogs, cats, rodents, fish and birds. The closest I got to an unusual pet was collecting various queen ants from wooded areas and reservoirs and breeding them into colonies.

Later, while attending boarding school in Britain, I was free to rear a gargoyle gecko in a terrarium in my room. These and many other reptiles are common pets in many countries and freely available from pet shops and online breeders.

Recently, I wrote to the National Parks Board to obtain a permit to import live beetles as pets. I was told that such requests would be entertained only if made by research institutions, even for a non",Forum: Opening up pet industry would widen horizons,https://www.straitstimes.com/forum/forum-opening-up-pet-industry-would-widen-horizons,"The authorities should work on the basis of a negative rather than a positive list of what constitutes illegal pets (Pet industry stands to benefit from a negative list of animals, by Mr Ong Junkai, May 13).
This would allow for greater diversification and growth in the pet industry and has other benefits.
They are not known to be carriers of diseases, and do not need the vaccinations and other treatments that are needed to prevent sickness and diseases in approved domestic pets.
By restricting pets to a positive list, this and future generations will interact, learn about and care for only a few domestic animals.
The opening up of the pet industry would be a step in the right direction.","positive, horizons, list, beetles, small, species, pet, industry, pets, forum, animals, widen, domestic, opening",Pest and disease outbreaks
26,06/2021,SINGAPORE ,Corpse flower in Sembawang which drew visitors cut down mysteriously,https://www.straitstimes.com/singapore/environment/blooming-corpse-flower-in-sembawang-cut-down,"SINGAPORE - A large, putrid flower of an exotic plant known as the elephant foot yam, initially found blooming at the foot of a Housing Board block in Sembawang, has been cut down.
""I hope all of us can be more gracious, more respectful and more caring towards nature,"" Dr Lim said.
Following his post, many Singaporeans flocked to Block 338 Sembawang Crescent to take photographs of the unusual sight.
""Now that the flower has been taken away, a lot of nature lovers are unable to have a view of that beautiful flower,"" he said.
It looked like it had been removed with a sharp blade, since the cut was clean, Mr Yap added.","post, foot, visitors, yam, drew, flower, block, lim, yap, sembawang, nature, corpse, mysteriously, cut",Pest and disease outbreaks
27,10/2019,SINGAPORE ,"Residents told to shut windows, switch on fewer lights as black insect swarms return to Bukit Batok",https://www.straitstimes.com/singapore/residents-told-to-shut-windows-and-switch-on-fewer-lights-as-black-insect-swarms-return-to,"SINGAPORE - Residents of several Bukit Batok Housing Board blocks have been told by the town council to shut their windows and switch on as few lights as possible after swarms of black insects plagued their flats in the past few days.
This harked back to 2015, when a similar mystery bug had also emerged in large numbers at blocks in Bukit Batok Avenue 8.
It is still unclear if the critters harassing residents of Blocks 170, 171 and 172 this year are of the same species as the insects from four years ago.
The resurgence of the beetle-like creatures was reported in Chinese evening daily Lianhe Wanbao on Wednesday (Oct 2), which said that the bugs were a nuisance to residents.
The Straits Times reported in 2015 that the rice grain-sized insects haunting the three blocks that year were harmless beetles that did not bite.","insects, residents, reported, 2015, unclear, insect, shut, fewer, return, swarms, blocks, lights, wanbao, windows, told, switch, bukit, batok",Pest and disease outbreaks
