,date,news title,content summary,sentiment score,sentiment label,compound score
10,Jan-20,Nepal rescuers call off search for trekkers after new avalanches,"KATHMANDU (REUTERS) - Rescuers in Nepal called off efforts on Monday (Jan 20) to find seven people, including four South Korean trekkers, after fresh avalanches hit the Annapurna region where the group went missing last week, an official said.
A military helicopter flew an army search and rescue team and sherpa climbers to the area, but ""bad weather, heavy snow and continuous avalanches"" prevented them from landing.
""Rescuers are on standby for a fresh search.""
Avalanches and bad weather had also prevented a search on Sunday by seven rescuers from the Trekking Agents' Association of Nepal, who reached the site at Deurali, about 150km north-west of the capital, Kathmandu.
A helicopter equipped with a device to track signs of the trekkers in the snow also failed to pinpoint where the group of seven went missing, said an official of a private rescue company.","{'neg': 0.117, 'neu': 0.788, 'pos': 0.096, 'compound': -0.8047}",negative,-0.8047
11,Jan-20,21 more bodies recovered in avalanche-hit Pakistan-administered Kashmir,"Rescuers were racing against time to reach scores of people believed still to be trapped inside their homes, buried under avalanches triggered by heavy snowfall in Pakistan-administered Kashmir.
The worst affected area was Kashmir's Neelum Valley, where the 21 bodies were retrieved, said Mr Ahmad Raza Qadri, a minister for disaster management.
He said that since Sunday, 76 people have been killed in Pakistan-administered Kashmir in weather-related incidents.
Pakistani Prime Minister Imran Khan flew to Kashmir on Wednesday to visit the avalanche-hit areas.
He visited a military hospital in Muzaffarabad, the capital of Pakistan-administered Kashmir, where several people, including women and children, were being treated after being rescued from Neelum Valley and elsewhere.","{'neg': 0.141, 'neu': 0.828, 'pos': 0.031, 'compound': -0.9413}",negative,-0.9413
12,Feb-20,Death toll rises to 28 in eastern Turkey avalanches: Officials,"ISTANBUL (REUTERS) - Two avalanches in eastern Turkey have killed 38 people, most of them buried by the second downslide while working to rescue victims of the first, officials said on Wednesday (Feb 5).
Turkey's Disaster and Emergency Authority (AFAD) said 33 people were killed when the second avalanche hit while they were searching for two more victims of the first snowslip, which killed five people, after rescuing eight others.
Interior Minister Suleyman Soylu said conditions in the area made it difficult for rescue vehicles to operate, adding that a vehicle had been pulled out from under 4-5m of snow.
He later said that rescue operations had been put on hold as authorities feared a third avalanche in the area.
He told Ihlas News Agency from hospital that some 200 people were working in the rescue operation but many were out of the immediate area when the second avalanche hit on Wednesday.","{'neg': 0.12, 'neu': 0.821, 'pos': 0.059, 'compound': -0.8402}",negative,-0.8402
13,Jan-20,French man killed in avalanche on Japan ski mountain,"TOKYO (AFP) - The body of a French man was found on Friday (Jan 31) after an avalanche struck a northern Japanese mountain where he was backcountry skiing with seven other French citizens, local police said.
The death of Mr Sylvain Lethier, 38, was confirmed after a rescue team found his body off the slopes of the Tomamu ski resort in the northern Hokkaido region, a brief police statement said.
The avalanche happened on Thursday afternoon, when the group of eight went off the resort's ski courses to venture into the untouched snow on the mountain.
Seven of the group were able to descend on their own by Thursday evening after the avalanche, leaving Mr Lethier, who was ""unconscious and in critical condition"", according to a local fire official.
The Hokkaido region boasts powdery snow that is popular with skiers.","{'neg': 0.073, 'neu': 0.885, 'pos': 0.042, 'compound': -0.5423}",negative,-0.5423
14,Jan-20,Snow hampers search for 7 missing after Nepal avalanche,"KATHMANDU • Heavy snow, chilling winds and poor visibility hampered yesterday's search for four South Koreans and three Nepalis caught in an avalanche in the popular Annapurna region of the Himalayas.
The missing group was near the Annapurna base camp around 3,230m above sea level when the avalanche struck after heavy snowfall last Friday.
Mr Tek Gurung, a guesthouse owner aiding in the search operation, said more than 2m of snow had fallen on the hiking trails.
The four foreigners - two men and two women - were part of an 11-member team of South Koreans.
Two more South Koreans had flown to Nepal to help with the search, said the South's Foreign Ministry.","{'neg': 0.091, 'neu': 0.863, 'pos': 0.046, 'compound': -0.5267}",negative,-0.5267
15,Jan-20,World Briefs: Seven trekkers missing in Nepal avalanche,"Seven trekkers missing in Nepal avalancheKATHMANDU • Seven trekkers, including four South Koreans, have gone missing in Nepal's north-west Himalayan region after an avalanche hit their trail, local police and hiking officials said yesterday.
The area where the avalanche struck the group, which also included three local guides, is about 150km north-west of Nepali capital Kathmandu, according to the officials.
""One thing I have decided is that you can wear brown shoes, black shoes, grey shoes, white shoes - any shoes will do,"" said Tun Dr Mahathir on Friday.
He is voiced by white actor Azaria, whose marked accent for the role has been criticised by viewers, who have also accused writers of using Indian stereotypes in their treatment of the character.
AGENCE FRANCE-PRESSENorth Korea replaces foreign minister: ReportSEOUL • North Korean Foreign Minister Ri Yong Ho has been replaced, Seoul-based NK News reported yesterday.","{'neg': 0.077, 'neu': 0.915, 'pos': 0.008, 'compound': -0.8481}",negative,-0.8481
16,Jan-20,South Koreans among seven missing in Himalayan avalanche,"KATHMANDU (REUTERS) - Seven trekkers, including four South Koreans, went missing in Nepal's north-west Himalayan region after an avalanche hit their trail, local police and hiking officials said on Saturday (Jan 18).
The area where the avalanche struck the group, which also included three local guides, is estimated to be about 150km north-west of Nepali capital Kathmandu, according to the officials.
Mount Annapurna, in north-west Nepal, is the world's tenth highest mountain at 8,091m and its base camp is popular with thousands of trekkers who visit annually.
The incident comes as the annual trekking season in Nepal, home to eight of the world's 14 highest mountain peaks including Mount Everest, is drawing to a close.
Separately, four rescue helicopters on Saturday evacuated nearly 200 trekkers in the Annapurna region - about 140 of them foreigners - to safer locations, police said.","{'neg': 0.029, 'neu': 0.91, 'pos': 0.061, 'compound': 0.6908}",positive,0.6908
17,Jan-20,At least 57 dead in avalanches in Pakistan,"In neighbouring India, at least 10 people were killed after several avalanches hit the northern-part of Indian-administered Kashmir.
Two Pakistani officials said many villagers were still stranded by the avalanches in the Neelum Valley area following heavy rain that also triggered landslides.
Authorities also scrambled to provide relief to local people with another spell of heavy snow expected on Friday.
At least 53 houses had been completely destroyed by avalanches in the Pakistani administered region known as Azad Jammu and Kashmir (AJK), officials said.
Meanwhile in western Pakistan, heavy snowfall in southwestern Balochistan destroyed several houses in the mountainous region, killing 17 people.","{'neg': 0.136, 'neu': 0.838, 'pos': 0.026, 'compound': -0.9298}",negative,-0.9298
18,Dec-19,Two German girls among three killed in Italy avalanche,"ROME (AFP) - An avalanche on Saturday (Dec 28) killed a 35-year-old woman and two girls, one of them aged seven, in the Italian Alps near the border with Austria, media reported.
All three victims were German nationals.
The accident happened 2,400m up on the Val Senales glacier at around midday, said Italian media reports.
The 35-year-old woman and the seven-year-old girl could not be resuscitated and the third victim died while being flown to hospital for treatment.
Another two people, thought to be members of the same skiing party, were injured in the avalanche, but their lives were not in danger, said the reports.","{'neg': 0.108, 'neu': 0.843, 'pos': 0.049, 'compound': -0.5627}",negative,-0.5627
19,Apr-19,3 elite mountaineers presumed dead after avalanche in Canada,"MONTREAL • Three world-renown-ed professional mountaineers - two Austrians and an American - were missing and presumed dead after an avalanche on a western Canadian summit, the country's national parks agency has said.
The three men were attempting to climb the east face of Howse Pass, an isolated and highly difficult route, Parks Canada said on Thursday.
Rescuers found signs of several avalanches and debris consistent with climbing equipment, Parks Canada said, leading them to presume that the climbers were dead.
It is unlikely the three men survived, Mr John Roskelley, father of missing mountaineer Jess Roskelley, told local media in the US state of Washington.
This is one of those trips where it turned into a nightmare,"" he told the Spokesman-Review.","{'neg': 0.138, 'neu': 0.837, 'pos': 0.025, 'compound': -0.9299}",negative,-0.9299
20,Apr-19,Three mountaineers presumed dead in Canada avalanche,"MONTREAL (AFP) - Three world-renowned professional mountaineers - two Austrians and an American - were missing and presumed dead after an avalanche on a western Canadian summit, the country's national parks agency said Thursday (April 18).
American Jess Roskelley, 36, and Austrians Hansjorg Auer, 35, and David Lama, 28, went missing Tuesday evening in Banff National Park, according to media reports.
The three men were attempting to climb the east face of Howse Pass, an isolated and highly difficult route, according to Parks Canada.
Rescuers found signs of several avalanches and debris consistent with climbing equipment, Parks Canada said, leading them to presume that the climbers were dead.
It is unlikely the three men survived, Mr John Roskelley, father of missing Jess Roskelley, told local media in the US state of Washington.","{'neg': 0.141, 'neu': 0.836, 'pos': 0.023, 'compound': -0.9432}",negative,-0.9432
21,Nov-18,"New Zealand avalanche kills 2 Germans, woman survives","WELLINGTON (AFP) - A New Zealand woman who was buried alive in an avalanche has told how she dug her way out of the snow after her two companions, both originally from Germany, perished on the mountainside.
They were climbing Mount Hicks, a 3,200 metre peak on the country's South Island, with New Zealander Jo Morgan when the avalanche struck on Wednesday morning.
Morgan and her companions were all experienced mountaineers and she said they were unlucky to hit a patch of unstable snow.
""The technique when you're involved in an avalanche is to swim, like overarm, and it allows you to keep higher up in the avalanche,"" he told reporters.
""She managed, when the avalanche finished, to have one or two arms out and managed to dig herself out.","{'neg': 0.034, 'neu': 0.927, 'pos': 0.039, 'compound': 0.1531}",positive,0.1531
22,May-19,Seven Russian tourists feared killed by avalanche in Siberia,"MOSCOW (REUTERS) - Seven Russian tourists on a hiking holiday in Siberia are feared dead after an avalanche on a ridge in the Altai region, the local emergencies ministry said on Wednesday (May 8), saying rescue workers were still looking for the missing walkers.
The avalanche happened on Monday, but came to light only on Wednesday when two survivors from the group reached the nearby settlement of Kosh-Agach and were able to radio for help, the TASS news agency cited emergency services as saying.
Two rescue helicopters have been deployed to find the missing tourists, the emergencies ministry said.
The group of nine people was visiting Altai from the Russian city of Novosibirsk.","{'neg': 0.099, 'neu': 0.793, 'pos': 0.108, 'compound': 0.2617}",positive,0.2617
23,Apr-20,Skiers unleash legal avalanche on Austria over coronavirus,"Tyrol authorities have come under blistering criticism for failing to quickly respond to signs of an outbreak of the new coronavirus at a popular ski resort, thus helping spread it across Europe and further afield.
Other bar revellers who have caught the virus came from Canada, the United Kingdom, Iceland and Sweden.
It was not until almost a fortnight later that the bar, and then the resort itself, were placed in lockdown.
Stung by criticism, regional Tyrol authorities insist they took ""very radical"" action in a timely manner.
Platter insists authorities took ""very quick"" and ""very radical"" decisions to contain the virus.","{'neg': 0.083, 'neu': 0.846, 'pos': 0.071, 'compound': -0.3182}",negative,-0.3182
24,Mar-18,"Two dead, one missing after avalanches in French Alps","GRENOBLE, France (AFP) - Two skiers from France and Belgium were killed in avalanches in the French Alps on Sunday (March 4) while three other people remain missing, a local official said.
The deaths add to the toll in the French mountains from avalanches since Friday.
The two skiers died during simultaneous avalanches around lunchtime, while skiing off-piste from the Vallorcines resort in the Chamonix-Mont Blanc region.
In neighbouring Savoie rescuers were looking for two missing skiers, aged 47 and 49, who were caught in an avalanche off-piste at Planay in the Tarentaise Valley in the heart of the French Alps.
A day earlier four skiers were killed in the Mercantour National park in the French Alps, the deadliest avalanche of the winter so far.","{'neg': 0.127, 'neu': 0.873, 'pos': 0.0, 'compound': -0.9517}",negative,-0.9517
25,Feb-22,Three climbers dead in Greece,"ATHENS (AFP) - Three climbers missing since Saturday (Feb 5) afternoon were found dead on Sunday in Helmos mountain in the Peloponnese, the Greek fire brigade said, allegedly as a result of an avalanche.
A search and rescue operation had been under way since late Saturday, with the participation of the fire brigade, a helicopter, drones and volunteers.
The three climbers, aged 50-55 and considered experienced in ice climbing, according to media reports, set off on Saturday morning to climb near Kalavrita Ski Resort.
When night fell, the ski resort, realising the trio had not returned as their car was still parked there, alerted the authorities.
Most likely, this avalanche swept away the climbers in their attempt to approach the desired route,"" Kalavrita Ski Resort said in a Facebook post on Sunday.","{'neg': 0.082, 'neu': 0.879, 'pos': 0.039, 'compound': -0.7096}",negative,-0.7096
26,Apr-18,Renowned mountain doctor killed in French avalanche,"LYON (AFP) - A French emergency doctor and mountain guide whose high-altitude work earned him the nickname ""Doctor Vertical"" was killed Monday (April 2) in an avalanche in the Alps, rescuers said.
A well-known figure in French mountaineering, Cauchy had written several books on mountain rescue and penned newspaper articles under the name ""Doctor Vertical"".
""Another great man that the mountain has taken from us,"" he told AFP from Nepal.
At least three other people were hurt in the avalanche but their injuries were not life-threatening, local mountain police told AFP.
Three Spaniards, including a mountain guide, were killed by an avalanche while skiing off-piste in the Obers Taelli area of the Swiss Alps on Saturday.","{'neg': 0.105, 'neu': 0.857, 'pos': 0.038, 'compound': -0.8519}",negative,-0.8519
27,Mar-20,India could be next coronavirus hot spot with an 'avalanche' of cases,"NEW DELHI (BLOOMBERG) - India could become the next global hot spot for virus cases, with experts warning that containment measures that proved successful elsewhere in Asia may not work in the world's second-most populous country.
Financial CapitalSo far India has been relatively unscathed from the virus compared with other countries in Asia.
Prime Minister Narendra Modi has said India is doing its best to fight the spread of the virus.
A key concern in India is Maharashtra, the state with the highest urbanisation in India and home to the financial capital Mumbai and benchmark stock exchange.
It has reported the biggest spread of the infection with 39 cases.","{'neg': 0.043, 'neu': 0.888, 'pos': 0.069, 'compound': 0.6124}",positive,0.6124
28,Feb-19,Several people 'buried' in avalanche at Swiss ski station,"GENEVA (AFP) - An avalanche left four skiers injured on Tuesday (Feb 19) at a resort in the Swiss Alps where rescue operations went on after dark with police fearing people could still be trapped under the snow.
The authorities held a press conference to announce the injuries, including one person seriously hurt, after local reports said up to a dozen people were engulfed by the avalanche.
Police officers said that based on witness reports other skiers could still be buried and the search would continue into the night.
Swiss RTS television said the army had set up lighting to aid the 240 rescue workers at the site.
""We are shocked and hope for good news about these people,"" Feraud was quoted as saying.","{'neg': 0.123, 'neu': 0.788, 'pos': 0.089, 'compound': -0.5859}",negative,-0.5859
29,Jul-19,Environmentalists urge Tour de France to end 'avalanche of plastic',"They say that a few years ago it was 18 million, but the environmentalists says the ""Tour de Plastic"" has to do more.
Lambert is one of 30 legislators who, together with six charities including Zero Waste France and Surfrider Foundation Europe, wrote an open letter to the Tour's organisers calling for action.
""We want people to know Ineos is associated with plastic, that Ineos is not a green company,"" Zero Waste France's Laura Chatel said.
Ineos spokesman Richard Longden said plastic was a valuable resource in making products ranging from blood bags to wind turbines.
""The real problem is plastic waste, and the disposable culture we all take for granted,"" he said.","{'neg': 0.115, 'neu': 0.808, 'pos': 0.078, 'compound': -0.6956}",negative,-0.6956
30,Jan-18,"Bigger, faster avalanches, triggered by climate change could threaten some cities","An analysis of the events, published this week in the journal Nature Geoscience, found that climate change was the culprit in both collapses.
That could mean more risks for towns, and even cities, within range of these types of huge avalanches.
To understand what the researchers found, it helps to know that generally, there are two kinds of mountain glaciers: flat and steep.
Steep glaciers appear perilously affixed to mountain walls, and when they do collapse, they create avalanches with speeds up to 400kmh.
But scientists say the driving factor in Tibet was climate change.","{'neg': 0.054, 'neu': 0.895, 'pos': 0.05, 'compound': -0.1018}",negative,-0.1018
31,Mar-17,Probe into why avalanche warning was not heeded,"The students who died, all aged 16 and 17, were from a local high school known for its prowess in competitive mountain climbing.
They were at the front of the group when the avalanche struck on the final day of a three-day training camp.
An avalanche warning was in place at the time.
""After that heavy a snowfall, of course, it was highly likely you'd get caught in an avalanche if you went out,""rescuer Itsuro Watabe told TBS.
Mr Atsuhito Masuguchi, head of the Tochigi High School Athletics Federation, said the training had been held for decades.","{'neg': 0.08, 'neu': 0.903, 'pos': 0.017, 'compound': -0.743}",negative,-0.743
32,Mar-17,Eight students killed in Japan avalanche,"About 60 students from seven high schools in rural Tochigi prefecture were participating in the annual early-spring climb in Nasu.
The area has been in the grip of snowstorms strong enough that rescue helicopters initially had trouble reaching the avalanche zone, according to Japanese news reports.
Survivors said members of the Otawara club were leading several groups of students during a trekking exercise on a low-altitude slope when the avalanche struck.
Prefectural officials said that about a dozen students stayed behind because they lacked the confidence or equipment to move through the deep snow.
Then afterwards, I heard the sound of sirens and helicopters,"" one student, who was in a tent about 90m from the avalanche, told NHK.","{'neg': 0.038, 'neu': 0.867, 'pos': 0.095, 'compound': 0.7906}",positive,0.7906
33,Mar-17,Japan seeks answers in avalanche deaths of 7 students and teacher,"TOKYO (REUTERS) - Investigators pored over a Japanese mountain on Tuesday (March 28) after a massive avalanche tore through a group of high school students and teachers, killing eight, amid questions about why avalanche warnings were ignored and whether they had proper equipment.
The avalanche in central Japan on Monday, which struck along some 50m of a steep slope just above a ski area, killed seven students and an instructor who were part of a 48-person group taking part in winter climbing training.
Survivors told Japanese media they were training in a wooded area in Nasu, a town in Tochigi prefecture 160km north of Tokyo, when suddenly there were shouts of ""Avalanche, get out of here!""
""A second later the snow was there and I was buried up to my chest,"" said one 16-year-old student.
""My face was free, so I managed to get myself out.","{'neg': 0.106, 'neu': 0.872, 'pos': 0.022, 'compound': -0.908}",negative,-0.908
34,Jan-17,Hope flickers as Italy avalanche survivors tell of trauma,"The risk of another avalanche remained high, as snow and fog continued to hamper the rescue effort in the mountains of central Italy.
The survivors extracted so far, five adults and four children, were trapped for 40 hours before rescuers made contact.
The survivors were all waiting to leave the hotel when the avalanche sent them flying.
As well as the nine pulled out, there were two survivors who were outside the hotel when the avalanche struck.
Broadcaster Rai reported Sunday that the hotel's owner has asked authorities to help evacuate the hotel before the avalanche.","{'neg': 0.082, 'neu': 0.841, 'pos': 0.077, 'compound': 0.1027}",positive,0.1027
35,Jan-17,Puppies found alive in Italy avalanche hotel boost hope for survivors,"With shovels, drills and their bare hands, they were also working to recover the sixth victim, a task expected to take several hours yet.
The former mayor of Farindola, whose brother was killed in the hotel disaster, said no one had considered the risk of an avalanche.
The area was hit by four powerful quakes in the hours before the avalanche, potentially loosening the snow mantle.
The e-mail sent Wednesday to the authorities by the hotel manager said ""the situation has become worrying"" and called for help.
With the electricity and phone signals down, guests spooked by the quakes were planning to sleep in their cars.","{'neg': 0.145, 'neu': 0.809, 'pos': 0.046, 'compound': -0.8979}",negative,-0.8979
36,Jul-18,Avalanche kills Austrian mountaineer in Pakistan,"ISLAMABAD (AFP) - An Austrian mountaineer was killed and two others injured after their tent was hit by an avalanche in northern Pakistan, officials said on Saturday (June 30).
The avalanche struck the men 5,900 metres up Ultar Sar mountain, located in Pakistan's northern Hunza valley.
""Austrian mountaineer Christian Huber was killed,"" local Hunza police official Wajid Karim told AFP.
He named the injured mountaineers as British national Bruce Normand and Timothy Miller, whose nationality was not immediately known.
Karim said efforts were underway to bring Huber's body and the injured mountaineers back to Islamabad.","{'neg': 0.141, 'neu': 0.859, 'pos': 0.0, 'compound': -0.9274}",negative,-0.9274
37,Jan-18,Italy evacuates dozens from Alpine hotel threatened by avalanche,"ROME (REUTERS) - Italy used helicopters on Tuesday (Jan 23) to airlift almost 100 tourists and staff from an Alpine hotel near the border with Austria because of a high risk of avalanche, an army spokesman said.
Record amounts of snow in recent days had made it impossible to leave the area by road, and the hotel had lost power.
Army and finance police helicopters were among those used in the evacuation.
A year ago a massive avalanche razed a hotel in central Italy, killing 29.
In Switzerland, hosting the World Economic Forum in Davos this week, authorities went on avalanche alert on Monday after fresh snow smothered much of the Alps.","{'neg': 0.102, 'neu': 0.859, 'pos': 0.039, 'compound': -0.7506}",negative,-0.7506
38,Dec-18,Boy survives 40-minute burial after avalanche in French Alps,"GRENOBLE, FRANCE (AFP) - A 12-year-old boy was found alive on Wednesday (Dec 26) 40 minutes after being swept away and buried by an avalanche while skiing with his parents in the French Alps, rescuers said.
He was not carrying a transmitting beacon that could alert rescuers to his position quickly.
But a sniffer dog brought in by the French mountain police squad from nearby Courchevel found him around 40 minutes later.
The chances of survival are minuscule after 15 minutes under the snow,"" one of the rescuers told AFP.
The child, who suffered only a broken leg, was taken to the hospital in Grenoble.","{'neg': 0.077, 'neu': 0.871, 'pos': 0.051, 'compound': -0.705}",negative,-0.705
39,Dec-17,Three people die in avalanches in Swiss Alps,"ZURICH (REUTERS) - Three people have died in separate avalanche accidents in the Swiss Alps, police said on Monday (Dec 25).
A man who was skiing close to the 2,844-metre high Hofathorn, in the southern canton of Wallis, died after being carried away by an avalanche on Monday morning.
The 39-year-old from the Wallis region was quickly found and recovered by his friends but was confirmed dead at the scene by emergency services.
Separately, one of three walkers buried by a snow drift in Wallis on Saturday has died, Swiss broadcaster SRF reported, quoting the police.
All three were flown to hospital, where one, a 29-year-old woman from the Swiss canton of Vaud, died of her injuries on Sunday evening, SRF said.","{'neg': 0.185, 'neu': 0.8, 'pos': 0.015, 'compound': -0.976}",negative,-0.976
40,Feb-17,Rescuers struggle to reach Afghan avalanche victims,"Aid is being delivered by helicopter to worst-hit Nuristan province, where at least 64 people have been killed - including 53 in one village, provincial governor Hafiz Abdul Qayyom told AFP.
""We will evacuate wounded victims to the city of Jalalabad for treatment,"" he said, adding that skies were clear yesterday.
An avalanche smashed into eight homes in Shershal village in Chitral district, killing nine people including four women and four children.
The region has been hit by heavy snowfall that is 1.2m deep in places.
Last month, heavy snowfall and freezing weather killed 27 children, all under the age of five, in Jawzjan province in northern Afghanistan.","{'neg': 0.142, 'neu': 0.837, 'pos': 0.022, 'compound': -0.9382}",negative,-0.9382
41,Mar-17,"Avalanche hits French ski slope, engulfing many skiers: Police","PARIS (REUTERS, AFP ) - No-one was killed in an avalanche at the French Alpine ski resort of Tignes on Tuesday (March 7) that was earlier reported to have swept away many skiers, the ski station said.
""Several skiers have been shaken up and taken care of by resort personnel.
After the search operations, there are no victims to report,"" a statement from the resort said.
Tuesday's avalanche risk - normally assessed only for off-piste and closed slopes - was at four on a scale of five.
An avalanche killed four people who were exploring an off-piste section in the same area on Feb 13.","{'neg': 0.151, 'neu': 0.821, 'pos': 0.029, 'compound': -0.9136}",negative,-0.9136
